inv_id,sku,product_name,category,material,dimensions,unit,stock_quantity,min_stock_level,unit_price_eur,preferred_supplier,supplier_lead_time_days,location,last_restock_date,notes
INV-001,STL-ROD-2391-10,Steel Rod DIN 2391,Raw Materials,Steel St37.4,10mm diameter × 6000mm length,piece,450,200,8.5,Klöckner & Co,5,Warehouse A - Rack 12,2025-09-28,"High turnover item, used in hydraulic cylinders"
INV-002,STL-ROD-2391-20,Steel Rod DIN 2391,Raw Materials,Steel St37.4,20mm diameter × 6000mm length,piece,180,100,18.75,Klöckner & Co,5,Warehouse A - Rack 12,2025-10-01,Standard stock item
INV-003,ALU-PLATE-6082-5,Aluminum Plate AlMgSi1,Raw Materials,Aluminum 6082 T6,5mm × 2000mm × 1000mm,sheet,65,30,125,Aluminium Lauterbach,7,Warehouse B - Section 3,2025-09-15,Used for lightweight structural components
INV-004,BOLT-M8-DIN933,Hex Bolt M8×40 DIN 933,Fasteners,Steel 8.8 zinc-plated,M8 × 40mm,piece,12500,5000,0.12,Würth,2,Small Parts - Bin 47,2025-10-05,High volume consumable
INV-005,BOLT-M10-DIN933,Hex Bolt M10×50 DIN 933,Fasteners,Steel 8.8 zinc-plated,M10 × 50mm,piece,8200,3000,0.18,Würth,2,Small Parts - Bin 48,2025-10-05,Standard fastener
INV-006,BRKT-L-90-50,L-Bracket 90° - 50mm,Components,Steel S235JR powder-coated,50mm × 50mm × 5mm thickness,piece,340,150,3.2,In-house production,3,Finished Goods - Shelf 8,2025-10-08,"Manufactured in-house, popular item"
INV-007,BRKT-L-90-100,L-Bracket 90° - 100mm,Components,Steel S235JR powder-coated,100mm × 100mm × 6mm thickness,piece,145,80,6.8,In-house production,4,Finished Goods - Shelf 8,2025-09-22,Heavy-duty version
INV-008,TUBE-SQ-40-3,Square Tube 40×40×3mm,Raw Materials,Steel S235JR,40mm × 40mm × 3mm wall × 6000mm length,piece,95,50,22.5,Stahlhandel Schmidt,6,Warehouse A - Rack 7,2025-09-18,Used in frame construction
INV-009,SHEET-SS-304-2,Stainless Steel Sheet 304,Raw Materials,Stainless Steel 1.4301 (AISI 304),2mm × 2000mm × 1000mm,sheet,28,15,185,Outokumpu Distribution,10,Warehouse B - Section 1,2025-08-30,"Corrosion-resistant, food-grade applications"
INV-010,BEAR-6204-2RS,Ball Bearing 6204-2RS,Components,Chrome steel with rubber seals,20mm ID × 47mm OD × 14mm width,piece,420,200,4.5,SKF Authorized Distributor,3,Small Parts - Bin 82,2025-10-02,Standard bearing for rotating assemblies
INV-011,WSHR-M8-DIN125,Flat Washer M8 DIN 125,Fasteners,Steel zinc-plated,M8 (8.4mm ID × 17mm OD × 1.6mm),piece,15000,8000,0.03,Würth,2,Small Parts - Bin 51,2025-10-05,High volume consumable
INV-012,HOSE-HYD-6-2SN,Hydraulic Hose 2SN DN6,Components,Steel wire braided rubber,"6mm inner diameter, 350 bar",meter,120,50,8.9,Parker Hannifin,5,Warehouse C - Roll Storage,2025-09-12,"Sold per meter, high-pressure rated"
INV-013,MOTOR-0.75KW-3PH,Electric Motor 0.75kW 3-Phase,Electrical,Cast iron housing,"1400 rpm, B3 mounting, 400V",piece,8,3,245,Siemens Motors,12,Electrical Components - Shelf 2,2025-08-15,Below minimum stock - reorder needed
INV-014,PAINT-RAL9005-5L,Powder Coat Paint RAL 9005,Consumables,Polyester powder coating - Jet Black,5kg box,box,18,10,42,AkzoNobel Powder Coatings,7,Paint Shop - Cabinet 3,2025-09-25,Most commonly used color
INV-015,FLNG-PN16-DN50,Weld Neck Flange PN16 DN50,Components,Carbon steel S235JR,"DN50 (2 inch), PN16 rating",piece,48,20,15.8,Flanschenwerk Bebitz,8,Warehouse A - Rack 18,2025-09-05,Standard piping component
INV-016,CHAIN-06B-1,Roller Chain 06B-1 Simplex,Components,"Carbon steel, pre-lubricated",3/8 inch pitch (9.525mm),meter,85,40,6.2,Iwis Chain,6,Warehouse C - Drawer 15,2025-09-20,"Sold per meter, standard industrial chain"
INV-017,GASKET-NBR-DN50,Flange Gasket NBR DN50,Consumables,Nitrile rubber (NBR),"DN50 (2 inch), PN16 compatible",piece,235,100,1.8,Klinger GmbH,4,Small Parts - Bin 94,2025-10-01,Oil and water resistant
INV-018,WIRE-MIG-G3SI1-1.0,MIG Welding Wire G3Si1,Consumables,Copper-coated steel wire,"1.0mm diameter, 15kg spool",spool,12,8,68,ESAB Welding & Cutting,5,Welding Area - Storage Cabinet,2025-09-28,Used for steel fabrication
INV-019,VALVE-BALL-DN25-SS,Ball Valve DN25 Stainless Steel,Components,Stainless steel 316 (1.4401),"DN25 (1 inch), full port, threaded",piece,22,10,38.5,Gestra AG,9,Warehouse A - Rack 22,2025-08-22,Food-grade applications
INV-020,GEAR-MOD2-Z40,"Spur Gear Module 2, 40 Teeth",Components,Steel C45 heat-treated,"Module 2, 40 teeth, 20° pressure angle",piece,15,8,28,KHK Gears,14,Precision Parts - Drawer 8,2025-07-18,Below minimum - long lead time item
